ID,Grammatical,Ungrammatical
1,那位教授写了书的内容。,那位教授写了书的作者。
2,我听着奶奶的声音。,我看着奶奶的声音。
3,他读了桌子上的报纸。,他读了桌子上的叉子。
4,她终于实现了理想。,她终于完成了理想。
5,我修理了这个电脑。,我修理了这个故事。
6,他承担了我的责任。,他承担了我的爱好。
7,我邀请过我的朋友。,我邀请过我的音响。
8,他在学校里讲过课。,他在学校里讲过饭。
9,弟弟开了父亲的车。,弟弟开了父亲的诗。
10,我看过这个画面。,我听过这个画面。
11,我读着商场的地图。,我听着商场的地图。
12,老师拿出了他的篮子。,老师拿出了他的梦想。
13,记者采访了艺术家。,记者采访了艺术品。
14,他参与了战争。,他参与了医院。
15,她增大了学习力度。,她增大了学习效率。
16,我结束了谈话。,我结束了对方。
17,他种了这些花。,他种了这些笔。
18,他申请了很多工作。,他申请了很多问题。
19,她吃过这种鱼。,她吃过这种水。
20,母亲喝过茶。,母亲喝过饭。
21,这款药缓解了症状。,这款药缓解了疾病。
22,歌手演奏了歌曲的旋律。,歌手演奏了歌曲的歌词。
23,他去过这个商店。,他去过这个店长。
24,科学家发明了这个产品。,科学家发明了这个规律。
25,母亲责备了孩子。,母亲责备了晚饭。
26,孩子改正了这个习惯。,孩子改正了这个特长。
27,我吸取了之前的经验。,我吸取了之前的经历。
28,政府建造了公园。,政府建造了山峰。
29,花园长满了草。,花园长满了水。
30,雨水灌溉了田地。,雨水灌溉了大楼。
31,她佩戴了首饰。,她佩戴了衣服。
32,他摘了一些水果。,他摘了一些蜂蜜。
33,警官解除了警报。,警官解除了出口。
34,爷爷安装过机器。,爷爷安装过蔬菜。
35,我听从了老师的建议。,我听从了老师的回忆。
