ID,Ungrammatical,Grammatical
1,我很喜欢。,我很喜欢音乐。
2,她开过。,她开过车。
3,记者采访了。,记者采访了科学家。
4,店长拿着。,店长拿着钥匙。
5,他在看。,他在看电视。
6,他认识了。,他认识了老师。
7,有人在听。,有人在听音乐。
8,我在吃。,我在吃饭。
9,他在修理。,他在修理电脑。
10,学生们在写。,学生们在写作业。
11,我们买了。,我们买了咖啡。
12,他在讲。,他在讲课。
13,她要去买。,她要去买礼物。
14,学生们在读。,学生们在读书。
15,他想起了。,他想起了同学。
16,老师在责备。,老师在责备学生。
17,司机启动了。,司机启动了车。
18,妈妈在卖。,妈妈在卖桌子。
19,他在想。,他在想办法。
20,爸爸买了。,爸爸买了房子。
21,我想种。,我想种花。
22,弟弟需要。,弟弟需要钱。
23,他打了。,他打了球。
24,我拜访了。,我拜访了邻居。
25,他在画。,他在画画。
26,她没见过。,她没见过牛。
27,我还没有做。,我还没有做检查。
28,爷爷参与了。,爷爷参与了战争。
29,医生表扬了。,医生表扬了孩子。
30,这是。,这是电脑。
31,我洗了。,我洗了衣服。
32,他很欣赏。,他很欣赏作家。
33,那里有。,那里有表演。
34,他拍下了。,他拍下了艺术品。
35,她提到了。,她提到了女儿。
36,她介绍了。,她介绍了工厂。
37,我经常去。,我经常去医院。
38,奶奶会去拜访。,奶奶会去拜访朋友。
