item_id,prefix,good_continuation,bad_continuation,category,good_human_score,bad_human_score
1,The actor won the,award,battle,event_plausibility,5.8,2.6
2,The anchorman told the,news,parable,event_plausibility,6.75,3.0
3,The animal found the,food,map,event_plausibility,5.85,2.0
4,The ant stacked the,supply,suitcase,event_plausibility,4.4,1.95
5,The archeologist examined the,epigraph,dog,event_plausibility,5.5,1.6
6,The archer released the,arrow,interview,event_plausibility,6.6,2.5
7,The artist assembled the,art,tent,event_plausibility,6.35,2.0
8,The artist hung the,picture,motorcycle,event_plausibility,5.5,1.95
9,The assistant helped the,cook,soldier,event_plausibility,5.25,2.8
10,The astronaut reached the,moon,baker,event_plausibility,5.4,2.35
11,The astronaut touched the,ground,guitar,event_plausibility,4.8,2.0
12,The athlete celebrated the,victory,marriage,event_plausibility,6.65,3.1
13,The athlete started the,match,vacuum,event_plausibility,4.15,3.45
14,The athlete won the,cup,toy,event_plausibility,5.15,3.15
15,The author signed the,book,check,event_plausibility,6.15,3.4
16,The baker gathered the,bread,soldier,event_plausibility,6.3,1.0
17,The baker sold the,bread,stroller,event_plausibility,6.45,2.05
18,The bank assigned the,code,book,event_plausibility,6.15,2.1
19,The barber cut the,hair,cake,event_plausibility,6.65,2.1
20,The barber used the,razor,microscope,event_plausibility,6.55,1.2
21,The bartender handed the,drink,lancet,event_plausibility,6.55,1.4
22,The bartender shook the,drink,flag,event_plausibility,6.25,2.05
23,The beautician spread the,cream,paint,event_plausibility,5.2,2.9
24,The biker started the,motorcycle,lesson,event_plausibility,6.15,3.4
25,The biker wore the,helmet,swimsuit,event_plausibility,6.8,2.1
26,The billionaire donated the,money,book,event_plausibility,6.2,4.15
27,The binman collected the,trash,flower,event_plausibility,5.35,3.05
28,The biologist used the,microscope,razor,event_plausibility,6.7,3.3
29,The blacksmith poured the,metal,wine,event_plausibility,6.5,1.6
30,The bodybuilder lifted the,weight,flag,event_plausibility,6.45,3.1
31,The boss assigned the,job,medal,event_plausibility,6.75,3.0
32,The boss promised the,promotion,heaven,event_plausibility,5.95,2.25
33,The botanist examined the,plant,tire,event_plausibility,6.55,3.0
34,The boxer delivered the,punch,drink,event_plausibility,6.15,2.2
35,The breeder sold the,dog,cigarette,event_plausibility,6.25,1.9
36,The burglar climbed the,wall,rock,event_plausibility,6.05,2.75
37,The businessman read the,report,fable,event_plausibility,6.45,2.35
38,The businessman tied the,necktie,prisoner,event_plausibility,6.5,1.45
39,The businessman wore the,tie,uniform,event_plausibility,6.55,4.15
40,The butcher carved the,meat,stone,event_plausibility,5.75,2.3
41,The butcher cut the,meat,tree,event_plausibility,6.75,1.8
42,The butcher sold the,meat,weapon,event_plausibility,6.95,1.6
43,The butcher used the,knife,camera,event_plausibility,6.35,2.05
44,The cameraman recorded the,video,sale,event_plausibility,6.85,2.45
45,The candidate celebrated the,victory,holiday,event_plausibility,5.9,5.0
46,The carpenter fixed the,chair,shoe,event_plausibility,5.55,1.2
47,The carpenter flipped the,board,hair,event_plausibility,6.35,3.1
48,The carpenter grabbed the,board,ball,event_plausibility,5.85,1.25
49,The carver built the,sculpture,house,event_plausibility,6.05,2.9
50,The cat chased the,bird,kite,event_plausibility,5.85,3.9
51,The cat drank the,milk,coffee,event_plausibility,5.6,1.45
